i
but
or
my
going
me
i'm
go
take
i've
look
i'll
without
lead
move
run
i'd
taking
action
fear
walk
goes
unless
rather
bringing
drive
enemy
myself
follow
carry
terrible
moved
loss
however
mine
afraid
nor
although
except
greed
tragedy
hate
driven
disappointed
anger
lies
weak
sorry
arrived
lie
carrying
followed
abandon
crazy
flew
jerk
lonely
hated
arrive
hates
suspicious
besides
inadequate
worthless
arrives
vain
dumb
lied
agony
ignorant
fled
despise
inferior
boring
dislike
anguish
